#1,,#2,,#3,
Balls,Squares,Balls,Squares,Balls,Squares
85736,0.0840507,141628,0.0977245,79654,0.0874348
8653,0.0835826,160066,0.0993683,44244,0.0775577
171646,0.0792446,125541,0.0955998,82459,0.0933884
185474,0.0749806,164844,0.1012845,33397,0.0844405
61621,0.0777217,115888,0.0871743,112287,0.0822217
163208,0.0790365,101312,0.1039279,53402,0.0888147
209294,0.0725242,34438,0.1013141,18607,0.0849739
64351,0.0853431,42316,0.1054758,37997,0.0848131
179653,0.0729125,48660,0.115475,63429,0.0824018
146029,0.0754284,39701,0.1173657,34659,0.0788782
170919,0.0762807,152193,0.1015504,39441,0.0836594
220198,0.0744328,69500,0.113134,19760,0.0813788
12015,0.092874,123797,0.0892162,44927,0.0809187
18240,0.0852831,109256,0.0941621,72803,0.0843756
93085,0.0822442,49388,0.1053565,38613,0.0821696
119521,0.0821561,13334,0.1092101,18289,0.082704
65367,0.0874204,108857,0.0973961,63269,0.0778979
44153,0.0942388,139931,0.0924064,69020,0.0890751
116893,0.0827717,63465,0.0980817,63960,0.0794994
46429,0.1018366,75028,0.0981203,71612,0.0855975
205702,0.0740891,37041,0.0910986,64827,0.0945446
30269,0.0863439,6967,0.1062675,46472,0.0778186
192994,0.073397,175450,0.0880072,75403,0.1059428
64529,0.0810198,19151,0.1062697,43813,0.0764855
137421,0.078423,62070,0.1048681,148965,0.0900472
170780,0.0740036,21338,0.1039363,41002,0.0804162
10289,0.0827672,70917,0.1129761,125776,0.0950038
83586,0.083391,30262,0.1097978,47294,0.0826487
153144,0.0758223,178464,0.0934821,82850,0.0914895
183264,0.0739529,84869,0.1009849,28504,0.0842982
69277,0.0845005,185661,0.0891121,48157,0.0920451
123184,0.0786031,141271,0.0920271,45326,0.0833332
7519,0.0824828,108206,0.1095218,83098,0.0780912
244592,0.0737651,72033,0.1164752,124711,0.090342
97933,0.0827761,166838,0.0893552,78008,0.0815992
121890,0.0851877,47916,0.0979801,55945,0.1000229
115671,0.0817179,41275,0.1089967,10778,0.0803513
20273,0.0914329,151202,0.1005383,92978,0.0881768
93610,0.0820398,73949,0.1075846,210046,0.0908502
118287,0.0777904,44470,0.0979571,11675,0.089923
79,0.0705434,25181,0.1206265,32479,0.090187
